#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_acre;Acre;Acre;Acre;;Acre;;;;;;;;;x
k_acre_adj;Acrean;;acrer;;;;;;;;;;;x
k_amazonas;Amazonas;Amazonas;Amazonas;;Amazonas;;;;;;;;;x
k_amazonas_adj;Amazonasian;;amazonaser;;;;;;;;;;;x
k_alferes;Alferes;;;;;;;;;;;x
k_alferes;Alferan;;;;;;;;;;;x
k_araucania;Araucanía;Araucanía;Araucanía;;Araucanía;;;;;;;;;x
k_araucania_adj;Araucanían;;araucaníer;;;;;;;;;;;x
k_atacama;Atacama;Atacama;Atacama;;Atacama;;;;;;;;;x
k_atacama_adj;Atacaman;;atacamer;;;;;;;;;;;x
k_baixo_tiete;Baixo Tietê;;;;;;;;;;;x
k_baixo_tiete_adj;Baixo-tieteense;;;;;;;;;;;x
k_bolivia;Bolivia;Bolivia;Bolivia;;Bolivia;;;;;;;;;x
k_bolivia_adj;Bolivian;;boliver;;;;;;;;;;;x
k_buenos_aires;Buenos Aires;Buenos Aires;Buenos Aires;;Buenos Aires;;;;;;;;;x
k_buenos_aires_adj;Buenos Airesian;;Buenos Aireser;;;;;;;;;;;x
k_cabo_norte;Cabo Norte;Cabo Norte;Cabo Norte;;Cabo Norte;;;;;;;;;x
k_cabo_norte_adj;Cabo Nortean;;Cabo Norter;;;;;;;;;;;x
k_california;California Paulista;;;;;;;;;;;x
k_california_adj;Californianos;;;;;;;;;;;x
k_ceara;Ceará;Ceará;Ceará;;Ceará;;;;;;;;;x
k_ceara_adj;Cearáian;;cearáer;;;;;;;;;;;x
k_chile;Chile;Chile;Chile;;Chile;;;;;;;;;x
k_chile_adj;Chilean;;chiler;;;;;;;;;;;x
k_chubut;Chubut;Chubut;Chubut;;Chubut;;;;;;;;;x
k_chubut_adj;Chubutian;;chubuter;;;;;;;;;;;x
k_cordoba;Córdoba;Córdoba;Córdoba;;Córdoba;;;;;;;;;x
k_cordoba_adj;Córdoban;;córdober;;;;;;;;;;;x
k_cuyo;Cuyo;Cuyo;Cuyo;;Cuyo;;;;;;;;;x
k_cuyo_adj;Cuian;;cuer;;;;;;;;;;;x
k_diamantina;Cristais;;;;;;;;;;;x
k_diamantina;Cristalino;;;;;;;;;;;x
k_ecuador;Ecuador;Ecuador;Ecuador;;Ecuador;;;;;;;;;x
k_ecuador_adj;Ecuadorian;;ecuadorer;;;;;;;;;;;x
k_espirito_santo;Espirito Santo;Espirito Santo;Espirito Santo;;Espirito Santo;;;;;;;;;x
k_espirito_santo_adj;Espirito Santian;;Espirito Santer;;;;;;;;;;;x
k_falkland;Falkland;Falkland;Falkland;;Falkland;;;;;;;;;x
k_falkland_adj;Falklish;;Falklish;;;;;;;;;;;x
