#################
### Artifacts ###
#################
###############
### Weapons ###
###############
sangreroja;Sangreroja;;;;;;;;;;;;;x
sangreroja_desc;This bastard sword was forged by Benjamín Bartales during his conquest of Santiago. Its pommel features a red lion's head, and its crossguard is red in reference to the Cross of Santiago. After becoming King of Chile, Benjamín had the sword blessed in holy water at the Metropolitan Cathedral.;;;;;;;;;;;;;x
terminus_est;Terminus Est;;;;;;;;;;;;;x
terminus_est_desc;A sharp, intimidating executioner's sword, this weapon was given to Severio by his father, Diego Bartales, on his 18th birthday. The double-edged blade features liquid mercury running through its center, allowing it to strike quickly and heavily. The guard is adorned with two human faces, one male and one female, marking a 'male' edge and a 'female' edge for respective clients. The words 'Terminus Est' are engraved on the blade.;;;;;;;;;;;;;x
libertador;Libertador;;;;;;;;;;;;;x
libertador_desc;A sharp, curved saber, this weapon was forged by Joaquín Valle during his liberation of Buenos Aires. It is modeled after the legendary curved saber of San Martín, who used a similar blade to free South America from The Crown.A sharp, curved saber, this weapon was forged by Armando Valle during his liberation of Buenos Aires. It is modeled after the legendary curved saber of San Martín, who used a similar blade to free South America from The Crown.;;;;;;;;;;;;;x
murasama;Murasama;;;;;;;;;;;;;x
murasama_desc;This samurai sword, with its impressive quality and sharpness, boasts durability and cutting power far beyond that of standard blades.;;;;;;;;;;;;;x
bandeirante_justice;Bandeirante Justice;;;;;;;;;;;;;x
bandeirante_justice_desc;This longsword was used by Alexandre Cantarini during the War of the Third Paulista Coalition against the short-lived Empire of Café com Leite. He killed Emperor Rodrigo Desterro with it in the Battle of Americana.;;;;;;;;;;;;;x
