#################
### Bookmarks ###
#################
bm_cono_sur;Cono Sur;;;;;;;;;;;;;x
bm_cono_sur_desc;The southernmost regions of South America were not spared the destruction wrought by the Event, though this end brought new beginnings for some. The Particularist Catholic Church struggles for power against new cults and a full-fledged indigenous revival in Patagonia, licking its wounds following the failure of the Platinean Crusade.;;;;;;;;;;;;;x
bm_cordillera;Los Andes y el Pacifico;;;;;;;;;;;;;x
bm_cordillera_desc;In the shadow of the Andes, change is the air. The authority of the Particularist Catholic Church has collapsed across the region, and new movements have emerged in the vacuum, inspired by ideas both old, like the Inkarri, and new, like the Liberationist heresy.;;;;;;;;;;;;;x
bm_terra_do_sol;Terra do Sol;;;;;;;;;;;;;x
bm_terra_do_sol_desc;The north of Brazil around the Equator has seen centuries of disorder, torn asunder by zealots and warlords, but it recently became united under the rule of Fatima de Pelourinho, Empress of Brazil, only to be fractured again by the rise of Belchioringia. Only time will tell if the aspiring emperors will unite the region again or leave it forever divided.;;;;;;;;;;;;;x
bm_cafe_com_leite;Café com Leite;;;;;;;;;;;;;x
bm_cafe_com_leite_desc;The South has long been a center of power in Brazil, before and after the Event. The Years of Lead came first, later the Wars of the Schism, then the Mineiro Wars. Following the collapse of the Empire of Coffee and Milk, São Paulo, Minas Gerais, and Rio Grande do Sul are all divided, and the South is up for the taking once again.;;;;;;;;;;;;;x
bm_inferno_verde;Inferno Verde;;;;;;;;;;;;;x
bm_inferno_verde_desc;The Amazon has long been impenetrable to outsiders, a green hell for armies and would-be conquerors. Life after the Event has brought isolation to the Amazon Basin, but life is not peaceful with patricians, prophets, and chiefs all vying for dominance.;;;;;;;;;;;;;x
###########################
### Bookmark Characters ###
###########################
################
### Cono Sur ###
################
ERA_CHAR_NAME_DIEGO;Diego Bartales;;;;;;;;;;;;;x
ERA_CHAR_INFO_230003;The son of the great Sword of Santiago, Diego Bartales participated in the Platinean Crusade five years ago, where he helped create the Platinean Crusader states and co-signed the Treaty of Buenos Aires alongside Procér Lionel Valle. Now that he has recently ascended to the kingship, Diego sees enemies, allies, and opportunities for expansion all around him. Will he manage to create a name for himself, or will he fail to live up to the legacy of his father?;;;;;;;;;;;;;
CHILE;Chile;;;;;;;;;;;;;x
ERA_CHAR_NAME_ESTANISLAO;Lionel Valle;;;;;;;;;;;;;x
ERA_CHAR_INFO_330007;The Platinean hero cult has arisen as a rival of the Particularist Catholic Church since the Event, and Procér Lionel Valle of Buenos Aires has become the main patron of the Platineans, their protector and their hero. His victory in the Platinean Crusade against the crusaders won him much renown, and Lionel styles himself a gaucho and an intellectual, drawing a straight line between himself and the heroes of the past: San Martín - Rosas - Perón - Valle.;;;;;;;;;;;;;x
BUENOS_AIRES;Buenos Aires;;;;;;;;;;;;;x
ERA_CHAR_NAME_CRISTINA;Cristina Duarte;;;;;;;;;;;;;x
ERA_CHAR_INFO_330016;During the Platinean Crusade, Duke Domingo Holgado of Junín was among the leaders of the Crusader army, but he was cut down by the Procér of Buenos Aires in battle. His widow, Cristina Duarte, fell into a state of grief and rage after Domingo’s death, only to emerge a wholly different woman. Cristina told all that she saw a vision of the Hand of God that chose her to overthrow the King of Buenos Aires and take the city back for the Particularist Catholic Church. Additionally, she has sworn a vow of celibacy until her husband’s murderer breathes his last, no matter the cost.;;;;;;;;;;;;;x
DUCHY_JUNIN;Junín;;;;;;;;;;;;;x
ERA_CHAR_NAME_CATRIEL;Nahuel Quilapán;;;;;;;;;;;;;x
ERA_CHAR_INFO_480008;It was Nahuel Quilapán’s father, Catriel the Morningstar, who united all of the Mapuche of Araucanía in the Araucanía Rebellion during the Fall of House Pincheira. Nizol Lonko Catriel took over the region and even conquered Biobío and Ñuble, but then died in a rebellion against his former squire Felipe Prat, leading to the split of Araucanía as a kingdom. Nahuel now seeks revenge against his father's killer and will do whatever it takes to do so, even if it means his family getting in the way of things.;;;;;;;;;;;;;x
DUCHY_ARAUCANIA;Araucanía;;;;;;;;;;;;;x
ERA_CHAR_NAME_ANASTASIO;Anastasio de Pollo;;;;;;;;;;;;;x
ERA_CHAR_INFO_330035;As the kings and crusaders fight their wars to the north, Patagonia has fallen back into its natural state: where a man can live as free as a bird of the sky. It was into this world that Anastasio de Pollo was born, he is a gaucho! What the Great Gaucho gave him, Anastasio must now take from the world. His destiny is beyond the Pampas, where it will take him only he knows!;;;;;;;;;;;;;
DUCHY_PATAGONES;Patagones;;;;;;;;;;;;;x
#############
### Andes ###
#############
ERA_CHAR_NAME_ANDRONICO;Andrónico Aiza;;;;;;;;;;;;;x
ERA_CHAR_INFO_810006;Bolivia, a land of silver, coca, and tin, has been united under the rule of its indigenous people and House Aiza, who liberated Quechua and Aymara alike from their slave masters and allowed them to rule themselves. In this land, El Tio and Pachamama reign supreme. King Andrónico Aiza has overseen the expansion of the Kingdom of Bolivia north and west, but cracks have begun to appear in the once idyllic Plurinational State…;;;;;;;;;;;;;x
BOLIVIA;Bolivia;;;;;;;;;;;;;x
ERA_CHAR_NAME_GERMAN;Germán Toro;;;;;;;;;;;;;x
ERA_CHAR_INFO_810020;East of Bolivia, the Particular Catholic Church still holds a place of high reverence to the lords and the people. Duke Germán Toro of Cordillera looks at the state of Bolivia in disgust: Christian warlords in the east quarreling with one another and heathens in the west uniting around a demon-worshiping king. Unable to participate in the Platine Crusade, Germán has different ambitions: to finally end the division and heathenry in Bolivia and return the Cross to La Paz.;;;;;;;;;;;;;x
CORDILLERA;Cordillera;;;;;;;;;;;;;x
ERA_CHAR_NAME_CHASKA;Chaska Q’ollary;;;;;;;;;;;;;x
ERA_CHAR_INFO_860100;When Pizarro conquered the Inca, the Spanish proceeded to wipe out all traces of Incan royalty and religion… or so they thought. There were the Q’ero people, the last living direct descendants of the Incas, who survived the Spanish conquest by receding high into the mountains and retaining their ancient worship of Inti. Long after the Event, the Q’ero returned from the mountains led by Chaska Q’ollary and retook Cuzco, the ancient Incan capital. Duke Chaska Q’ollary’s intentions to restore the Tawantinsuyu have been welcomed by many Quechua though the Inkarri call him a fraud, as Atahualpa has not yet returned.;;;;;;;;;;;;;x
CHOQUEQUIRAO;Choquequirao;;;;;;;;;;;;;x
ERA_CHAR_NAME_ALFONSO;Alfonso Huaypacusi;;;;;;;;;;;;;x
ERA_CHAR_INFO_860059;There have long been those who have rejected orthodoxies and forged their own paths in South America, not strictly indigenous and not strictly Catholic. Duke Alfanso Huaypacusi and his Chicheros are among those, reflecting on the death of the Old World by the birth of a new, better one. Alfanso would rather everyone just get along and get over their differences, to all sing together, but he knows that is not how the world works. Will the death song of the Pharaoh be one of sorrow or one of triumph then?;;;;;;;;;;;;;x
UCAYALI;Ucayali;;;;;;;;;;;;;x
ERA_CHAR_NAME_FELICIANO;Feliciano Gutiérrez;;;;;;;;;;;;;x
ERA_CHAR_INFO_860066;Lima has long been a center of the Particular Catholic Church, going back to even before the Event. It has also long been a center of inequality, with a tight grip over the trade and mining of Peru. It was against that inequality Feliciano Gutiérrez fought, armed with the greatest weapon of all: religion. Feliciano used his Liberationist preaching to rally an army of discontents and rebels around him, with which he toppled the old regime in Lima. Duke Feliciano Gutiérrez of Lima now rules in the name of the people, and there are many more oppressed who need to be liberated.;;;;;;;;;;;;;x
Lima;Lima;;;;;;;;;;;;;x
####################
### Terra do Sol ###
####################
ERA_CHAR_NAME_CELESTINO;Celestino Belchioringio;;;;;;;;;;;;;x
ERA_CHAR_INFO_3;Antônio Carlos Belchior “the Great,” a commander in the Imperial armies under Empress Fátima de Pelourinho, established the Belchioringian Empire from Fátima’s dying empire and its ruinous Last Regency, extending his reach across the Northeast. Belchior’s death led to the fracture of Belchioringia and a civil war amongst his sons, with a peace finally being reached recognizing the eldest brother Celestino as the first among equals though they all ruled separate kingdoms. He rules over the most powerful of the Belchioringian realms, Cabo Norte, and it was Celestino who fought off the regency when they tried to retake the Northeast after Antônio died. King Celestino represents the interests of the coastal Candomblé elite of Belchioringia, and he hopes to one day reunite the Belchioringians, both to sate his own ambition and to stave off the imperialistic ambitions of Tristão I.;;;;;;;;;;;;;x
CABO_NORTE;Cabo Norte;;;;;;;;;;;;;x
ERA_CHAR_NAME_FRANCISCO;Francisco Matildez;;;;;;;;;;;;;x
ERA_CHAR_INFO_10001;The Seladite Rebellion of 2366 was a reaction against the naked favoritism shown by the Belchioringians towards the coastal elite at the expense of poorer Sertanistas and Cearenses. Francisco Matildez, a soldier turned firebrand preacher, led the masses against King Cláudio Belchioringio who he proclaimed to be an agent of communists and the Devil, and the rebellion was able to successfully drive the Belchioringians from Ceará. Francisco’s charisma, cunning and leadership led him to consolidating power as the ruler over both Sertanejas and Cearenses, with his capital centered around Fortaleza. King Francisco Matildez of Ceará looks both east and west, planning to both expand and surpass the feats of Antônio Carlos and even Fátima.;;;;;;;;;;;;;x
CEARA;Ceara;;;;;;;;;;;;;x
ERA_CHAR_NAME_TRISTAO;Tristão de Pelourinho;;;;;;;;;;;;;x
ERA_CHAR_INFO_40010;Son of the great Fátima, Emperor Tristão de Pelourinho has a lot to live up to. His mother Fatima, empress and priestess of the Candomble religion, died when he was young, leaving him in the turbulent Last Regency under Eugênio Giordino. That regency saw the rise of the Belchioringians and the collapse of much of Fátima’s empire, leaving only a rump state in Bahia. However, Tristão has now come of age, and he is ready to retake what is rightfully his as the August Emperor. Will Brazil be reunited under his rule, or will it slip back into anarchy and civil war just as it did after Fátima’s?;;;;;;;;;;;;;x
BAHIA;Bahia;;;;;;;;;;;;;x
ERA_CHAR_NAME_JOAO_ILHEUS;João Figueiredo;;;;;;;;;;;;;x
ERA_CHAR_INFO_40031;Once a commander of the Imperial armies under Empress Fátima de Pelourinho, João and his troops turned against her son, heading to Ilhéus, where he restored Ilhéus, naming himself as its monarch. As the territories that he captured were given to his officers, João I tried to take Salvador itself, a risky though bold move, that resulted in the destruction of his forces against Eugênio’s troops. Instead, João I recognized Tristão I as the August Emperor, and Eugênio recognized the sovereignty of João I Figueiredo of Ilhéus. The King and the Emperor now exist in an uneasy peace, João still resenting the young emperor for stifling his prior ambitions.;;;;;;;;;;;;;x
ILHEUS;Ilhéus;;;;;;;;;;;;;x
ERA_CHAR_NAME_ROSA;Rosa Ribamar;;;;;;;;;;;;;x
ERA_CHAR_INFO_30016;When her father King José Ribamar of Maranhão died, Rosa only took up the crown reluctantly. She would have rather lived out a simple life without all the intrigue of the court, but duty called, as it always did. Her brother Zacarias was seen as too weak while her brother Francisco is hated by the nobility and is even considered too much of a threat by the rest of his family for his all-consuming ambition. Queen Rosa has her hands full dealing with the squabbling nobility of Maranhão and her brothers, and the weight of the crown has driven Rosa into a deep state of despair. Only time will tell if she will embrace the crown… or if it will consume her.;;;;;;;;;;;;;x
MARANHAO;Maranhão;;;;;;;;;;;;;x
######################
### Café com Leite ###
######################
ERA_CHAR_NAME_ALEXANDRE;Alexandre Cantarini;;;;;;;;;;;;;x
ERA_CHAR_INFO_110001;The Empire of Coffee and Milk under Emperor Rodrigo Desterro came very close to uniting Minas Gerais and São Paulo under one ruler, only to be foiled when the would-be emperor tried to conquer the Principality of Americana. On the battlefield, Emperor Rodrigo met an enemy bandeirante named Alexandre Cantarini who proved to be his match with the Empire of Coffee and Milk collapsing after the emperor’s death. For his service in the Mineiro Wars, Alexandre was given the County of Campinas by the Governor of Grande São Paulo despite him being a Peterite heretic. Count Alexandre Cantarini now has put down roots and perhaps even ambitions, for São Paulo and beyond…;;;;;;;;;;;;;x
CAMPINAS;Campinas;;;;;;;;;;;;;x
ERA_CHAR_NAME_YAGO;Yago Matarazzo;;;;;;;;;;;;;x
