#################
### Buildings ###
#################
ca_culture_recifolindense_1;Maracatu Workshop;;;;;;;;;;;;;x
ca_culture_recifolindense_2;Maracatu Workshop;;;;;;;;;;;;;x
ca_culture_recifolindense_3;Maracatu Workshop;;;;;;;;;;;;;x
ca_culture_recifolindense_4;Maracatu Workshop;;;;;;;;;;;;;x
ca_culture_recifolindense_1_desc;Trained here are the skilled Caboclos de Lança, fierce Pikemen who wear colorful armour embezzled with their unique standards as well as adorned helmets meant to make them look bigger on the battlefield and intimidate their enemies.;;;;;;;;;;;;;x

ca_culture_lagoano_1;Guerreiro’s gathering;;;;;;;;;;;;;x
ca_culture_lagoano_2;Guerreiro’s gathering;;;;;;;;;;;;;x
ca_culture_lagoano_3;Guerreiro’s gathering;;;;;;;;;;;;;x
ca_culture_lagoano_4;Guerreiro’s gathering;;;;;;;;;;;;;x
ca_culture_lagoano_1_desc;The Guerreiros are the elite knights of the Lagoano armies, easily recognisable for the Crests they wear above their helmets, each uniquely designed by the Guerreiros themselves.;;;;;;;;;;;;;x

ca_culture_natalense_1;Cidade Junina;;;;;;;;;;;;;x
ca_culture_natalense_2;Cidade Junina;;;;;;;;;;;;;x
ca_culture_natalense_3;Cidade Junina;;;;;;;;;;;;;x
ca_culture_natalense_4;Cidade Junina;;;;;;;;;;;;;x
ca_culture_natalense_1_desc;The place where the famed Snakecatchers archers are trained. Their origin dates back to pre-event times, when the original Snakecatchers managed to capture legendary bandit-king Jararaca.;;;;;;;;;;;;;x

ca_culture_cearense_1;Vaquejada park;;;;;;;;;;;;;x
ca_culture_cearense_2;Vaquejada park;;;;;;;;;;;;;x
ca_culture_cearense_3;Vaquejada park;;;;;;;;;;;;;x
ca_culture_cearense_4;Vaquejada park;;;;;;;;;;;;;x
ca_culture_cearense_1_desc;Strong people accostumed to the harsh living conditions of the arid hinterlands, those are the Vaqueiros. They are expected to serve their lieges in battle, being often employed in different ways due to their flexible nature, for which they also gain access to certain privileges essentially forming a class of their own.;;;;;;;;;;;;;x

ca_culture_sertanejo_1;Coito;;;;;;;;;;;;;x
ca_culture_sertanejo_2;Coito;;;;;;;;;;;;;x
ca_culture_sertanejo_3;Coito;;;;;;;;;;;;;x
ca_culture_sertanejo_4;Coito;;;;;;;;;;;;;x
ca_culture_sertanejo_1_desc;Cangaceiros from northeastern Brazil reside here. Using whatever weapons they can get their hands on, these mercenaries are feared for their guerrilla tactics and brutality towards their enemies.;;;;;;;;;;;;;x

ca_culture_northeastern_native_1;Toré Gathering Ground;;;;;;;;;;;;;x
ca_culture_northeastern_native_2;Toré Gathering Ground;;;;;;;;;;;;;x
ca_culture_northeastern_native_3;Toré Gathering Ground;;;;;;;;;;;;;x
ca_culture_northeastern_native_4;Toré Gathering Ground;;;;;;;;;;;;;x
ca_culture_northeastern_native_1_desc;The Toré is a spiritual ceremony common to many peoples of the Nordeste that amongst other purposes is meant to inspire and spiritually aid its warriors.;;;;;;;;;;;;;x

ca_culture_bandeirante_1;Bandeirante Camp;;;;;;;;;;;;;x
ca_culture_bandeirante_2;Bandeirante Camp;;;;;;;;;;;;;x
ca_culture_bandeirante_3;Bandeirante Camp;;;;;;;;;;;;;x
ca_culture_bandeirante_4;Bandeirante Camp;;;;;;;;;;;;;x
ca_culture_bandeirante_1_desc;The Bandeirantes are mercenaries of Paulista origins. First appearing during the rise of the urban republics they work for the highest bider and seek war even outside their homelands;;;;;;;;;;;;;x
