#################
### Nicknames ###
#################
nick_the_bachelor;the Bachelor;;;;;;;;;;;x
nick_the_wizard;the Wizard;;;;;;;;;;;x
nick_the_marginal_knight;the Marginal Knight;;;;;;;;;;;x
nick_the_bruja;the Bruja;;;;;;;;;;;x
nick_the_viudita;the Viudita;;;;;;;;;;;x
nick_the_beloved;the Beloved;;;;;;;;;;;x
nick_karai_guasu;the Karai Guasu;;;;;;;;;;;x
nick_coke_addict;the Cocalero;;;;;;;;;;;x
nick_fire_wasp;the Fire Wasp;;;;;;;;;;;x
nick_the_black;the Black;;;;;;;;;;;x
nick_the_pharaoh;the Pharaoh;;;;;;;;;;;x
nick_lady_lines;the Lady of the Lines;;;;;;;;;;;x
nick_devil_puno;the Devil of Puno;;;;;;;;;;;x
nick_star_child;the Star Child;;;;;;;;;;;x
nick_golden_tongue;Golden Tongue;;;;;;;;;;;x
nick_jaguar_killer;Jaguar Killer;;;;;;;;;;;x
nick_cattle_king;the Cattle King;;;;;;;;;;;x
nick_duke_of_lead;the Duke of Lead;;;;;;;;;;;x
nick_cobra_verde;Green Snake;;;;;;;;;;;x
nick_minuano;Minuano;;;;;;;;;;;x
nick_the_sword_of_santiago;the Sword of Santiago;;;;;;;;;;;x
nick_the_sword_of_virgin_of_carmel;the Sword of the Virgin of Carmel;;;;;;;;;;;x
nick_the_sword_of_the_pacific;the Sword of the Pacific;;;;;;;;;;;x
nick_the_executioner;the Executioner;;;;;;;;;;;x
nick_the_white_falcon;the White Falcon;;;;;;;;;;;x
nick_the_falcon_queen;the Falcon Queen;;;;;;;;;;;x
nick_the_slayer;the Slayer;;;;;;;;;;;x
nick_the_quintrala;the Quintrala;;;;;;;;;;;x
nick_the_morningstar;the Morningstar;;;;;;;;;;;x
nick_the_starbreaker;the Starbreaker;;;;;;;;;;;x
nick_the_teutonic_dragon;the Teutonic Dragon;;;;;;;;;;;x
nick_the_warlock;the Warlock;;;;;;;;;;;x
nick_the_zauberer;the Zauberer;;;;;;;;;;;x
nick_the_pirate;the Pirate;;;;;;;;;;;x
nick_the_roto;the Roto;;;;;;;;;;;x
nick_the_infernal;the Infernal;;;;;;;;;;;x
nick_the_heretic;the Heretic;;;;;;;;;;;x
nick_the_huaso;the Huaso;;;;;;;;;;;x
nick_the_pincoya;the Pincoya;;;;;;;;;;;x
nick_the_jinete;the Jinete;;;;;;;;;;;x
nick_the_beast;the Beast;;;;;;;;;;;x
nick_the_bandido;the Bandido;;;;;;;;;;;x
nick_the_penquista;the Penquista;;;;;;;;;;;x
nick_the_colorado;the Colorado;;;;;;;;;;;x
nick_the_gaucho_salteno;the Gaucho Salteño;;;;;;;;;;;x
nick_the_goldenhand;the Goldenhand;;;;;;;;;;;x
nick_the_furious;the Furious;;;;;;;;;;;x
nick_the_lion_of_americana;the Lion of Americana;;;;;;;;;;;x
nick_the_minotaur;the Minotaur;;;;;;;;;;;x
nick_the_sea_wolf;the Sea Wolf;;;;;;;;;;;x
nick_the_silverfist;the Silverfist;;;;;;;;;;;x
nick_the_friar_knight;the Friar Knight;;;;;;;;;;;x
nick_the_knight_of_the_andes;the Knight of the Andes;;;;;;;;;;;x
nick_the_baptist;the Baptist;;;;;;;;;;;x
nick_the_thrice_killed;the Thrice-Killed;;;;;;;;;;;x
nick_the_gentleman_of_the_seas;the Gentleman of the Seas;;;;;;;;;;;x
nick_the_desert_lion;the Desert Lion;;;;;;;;;;;x
nick_the_copper_lord;the Copper Lord;;;;;;;;;;;x
nick_the_corsair_of_the_jungle;the Corsair of the Jungle;;;;;;;;;;;x
