###################################
### Titles and Forms of Address ###
###################################
################
### Cultural ###
################
### Mapuche ###
baron_mapuche;Lonko;;;;;;;;;;;;;x
baron_female_mapuche;Lonko;;;;;;;;;;;;;x
barony_of_mapuche;Caví of;;;;;;;;;;;;;x
barony_mapuche;Caví;;;;;;;;;;;;;x
count_mapuche;Ülmen;;;;;;;;;;;;;x
count_female_mapuche;Ülmen;;;;;;;;;;;;;x
county_of_mapuche;Lof of;;;;;;;;;;;;;x
county_mapuche;Lof of;;;;;;;;;;;;;x
duke_mapuche;Ülmen Buta Lonko;;;;;;;;;;;;;x
duke_female_mapuche;Ülmen Buta Lonko;;;;;;;;;;;;;x
duchy_of_mapuche;Aillarehue of;;;;;;;;;;;;;x
duchy_mapuche;Aillarehue;;;;;;;;;;;;;x
king_mapuche;Ñizol Lonko;;;;;;;;;;;;;x
king_female_mapuche;Ñizol Lonko;;;;;;;;;;;;;x
kingdom_of_mapuche;Butalmapu of;;;;;;;;;;;;;x
kingdom_mapuche;Butalmapu;;;;;;;;;;;;;x
emperor_mapuche;Ñizol Buta Lonko;;;;;;;;;;;;;x
emperor_female_mapuche;Ñizol Buta Lonko;;;;;;;;;;;;;x
empire_of_mapuche;Wallmapu of;;;;;;;;;;;;;x
empire_female_mapuche;Wallmapu;;;;;;;;;;;;;x
city_barony_of_mapuche;Coyag of;;;;;;;;;;;;;x
city_county_of_mapuche;Buta Coyag of;;;;;;;;;;;;;x
city_count_mapuche;Werken;;;;;;;;;;;;;x
city_count_female_mapuche;Werken;;;;;;;;;;;;;x
city_duchy_of_mapuche;Ñizol Coyag of;;;;;;;;;;;;;x
city_duke_mapuche;Buta Werken;;;;;;;;;;;;;x
city_duke_female_mapuche;Buta Werken;;;;;;;;;;;;;x
city_kingdom_of_mapuche;Wudalmapu  of;;;;;;;;;;;;;x
city_king_mapuche;Ñizol Werken;;;;;;;;;;;;;x
city_king_female_mapuche;Ñizol Werken;;;;;;;;;;;;;x
city_empire_of_mapuche;Ñizol Wudalmapu Unions of;;;;;;;;;;;;;x
city_emperor_mapuche;Ñizol Buta Werken;;;;;;;;;;;;;x
city_emperor_female_mapuche;Ñizol Buta Werken;;;;;;;;;;;;;x
### Wladfaeg ###
king_wladfaeg;Prince;;;;;;;;;;;;;x
king_female_wladfaeg;Princess;;;;;;;;;;;;;x
kingdom_of_wladfaeg;Princedom of;;;;;;;;;;;;;x
kingdom_wladfaeg;Princedom;;;;;;;;;;;;;x
emperor_wladfaeg;High King;;;;;;;;;;;;;x
emperor_female_wladfaeg;High Queen;;;;;;;;;;;;;x
empire_of_wladfaeg;High Kingdom of;;;;;;;;;;;;;x
empire_female_wladfaeg;High Kingdom;;;;;;;;;;;;;x
### Selk'nam ###
tribal_count_female_selknam;K'mal;;;;;;;;;;;;;x
tribal_count_selknam;K'mal;;;;;;;;;;;;;x
tribal_county_selknam;Haruwen;;;;;;;;;;;;;x
tribal_county_of_selknam;Haruwen of;;;;;;;;;;;;;x
tribal_duke_female_selknam;Aienam;;;;;;;;;;;;;x
tribal_duke_selknam;Aienain;;;;;;;;;;;;;x
tribal_county_selknam;Haruwen;;;;;;;;;;;;;x
tribal_county_of_selknam;Haruwen of;;;;;;;;;;;;;x
tribal_king_female_selknam;Chanam;;;;;;;;;;;;;x
tribal_king_selknam;Chanain;;;;;;;;;;;;;x
### Paulista ###
count_paulista;Viscount;;;;;;;;;;;;;x
count_female_paulista;Viscountess;;;;;;;;;;;;;x
county_paulista;Viscounty;;;;;;;;;;;;;x
county_of_paulista;Viscounty of;;;;;;;;;;;;;x
duke_paulista;Marquis;;;;;;;;;;;;;x
duke_female_paulista;Marchioness;;;;;;;;;;;;;x
duchy_paulista;March;;;;;;;;;;;;;x
duchy_of_paulista;March of;;;;;;;;;;;;;x
king_paulista;Duke;;;;;;;;;;;;;x
king_female_paulista;Duchess;;;;;;;;;;;;;x
kingdom_paulista;Duchy;;;;;;;;;;;;;x
kingdom_of_paulista;Duchy of;;;;;;;;;;;;;x
family_palace_baron_paulista;Oligarch;;;;;;;;;;;;;x
city_count_paulistano;Oligarch;;;;;;;;;;;;;x
city_duke_paulistano;Prefect;;;;;;;;;;;;;x
city_king_paulistano;Governor;;;;;;;;;;;;;x
city_emperor_paulistano;President;;;;;;;;;;;;;x
city_county_of_paulistano;Oligarchy of;;;;;;;;;;;;;x
city_duchy_of_paulistano;Prefecture of;;;;;;;;;;;;;x
city_kingdom_of_paulistano;Governorship of;;;;;;;;;;;;;x
city_empire_of_paulistano;Republic of;;;;;;;;;;;;;x
### Mantiqueiro ###
count_mantiqueiro;Viscount;;;;;;;;;;;;;x
count_female_mantiqueiro;Viscountess;;;;;;;;;;;;;x
county_mantiqueiro;Viscounty;;;;;;;;;;;;;x
county_of_mantiqueiro;Viscounty of;;;;;;;;;;;;;x
duke_mantiqueiro;Marquis;;;;;;;;;;;;;x
duke_female_mantiqueiro;Marchioness;;;;;;;;;;;;;x
duchy_mantiqueiro;March;;;;;;;;;;;;;x
duchy_of_mantiqueiro;March of;;;;;;;;;;;;;x
king_mantiqueiro;Duke;;;;;;;;;;;;;x
king_female_mantiqueiro;Duchess;;;;;;;;;;;;;x
kingdom_mantiqueiro;Duchy;;;;;;;;;;;;;x
kingdom_of_mantiqueiro;Duchy of;;;;;;;;;;;;;x
family_palace_baron_mantiqueiro;Oligarch;;;;;;;;;;;;;x
### Mineiro ###
count_mineiro_group;Viscount;;;;;;;;;;;;;x
count_female_mineiro_group;Viscountess;;;;;;;;;;;;;x
county_mineiro_group;Viscounty;;;;;;;;;;;;;x
county_of_mineiro_group;Viscounty of;;;;;;;;;;;;;x
duke_mineiro_group;Marquis;;;;;;;;;;;;;x
duke_female_mineiro_group;Marchioness;;;;;;;;;;;;;x
duchy_mineiro_group;March;;;;;;;;;;;;;
duchy_of_mineiro_group;March of;;;;;;;;;;;;;x
### Salvadorense ###
duke_salvadorense;Prince;;;;;;;;;;;;;x
duke_female_salvadorense;Princess;;;;;;;;;;;;;x
king_salvadorense;Exarch;;;;;;;;;;;;;x
duchy_of_salvadorense;Principate of;;;;;;;;;;;;;x
kingdom_of_salvadorense;Exarchate of;;;;;;;;;;;;;x
vice_royalty_count_salvadorense;Inspector-General;;;;;;;;;;;;;x
vice_royalty_duke_salvadorense;Dom;;;;;;;;;;;;;x
vice_royalty_duke_female_salvadorense;Dona;;;;;;;;;;;;;x
vice_royalty_king_salvadorense;Governor;;;;;;;;;;;;;x
vice_royalty_county_of_salvadorense;Inspectorate;;;;;;;;;;;;;x
vice_royalty_duchy_of_salvadorense;Domain of;;;;;;;;;;;;;x
vice_royalty_kingdom_of_salvadorense;Province of;;;;;;;;;;;;;x
#################
### Religious ###
#################
### Nguillatun ###
job_spiritual_nguillatun;Court Machi;;;;;;;;;;;;;x
temple_baron_nguillatun;Machi;;;;;;;;;;;;;x
temple_baron_female_nguillatun;Machi;;;;;;;;;;;;;x
temple_baron_nguillatuns;Adjuncts;;;;;;;;;;;;;x
temple_barony_of_nguillatun;Rehue of;;;;;;;;;;;;;x
temple_count_nguillatun;Buta Machi;;;;;;;;;;;;;x
temple_count_female_nguillatun;Buta Machi;;;;;;;;;;;;;x
temple_county_of_nguillatun;Lonkorehue of;;;;;;;;;;;;;x
temple_duke_nguillatun;Machi Buta Lonko;;;;;;;;;;;;;x
temple_duke_female_nguillatun;Machi Buta Lonko;;;;;;;;;;;;;x
temple_duchy_of_nguillatun;Butalrehue of;;;;;;;;;;;;;x
temple_king_nguillatun;Machi Ñizal Lonko;;;;;;;;;;;;;x
temple_king_female_nguillatun;Machi Ñizal Lonko;;;;;;;;;;;;;x
temple_kingdom_of_nguillatun;Butalmapu Rehue of;;;;;;;;;;;;;x
