#################
### Modifiers ###
#################
##################################
### Bloodline opinion modifier ###
##################################
centrino_opinion;Centrino Opinion;;;;;;;;;;;;;x
huaso_opinion;Huaso Opinion;;;;;;;;;;;;;x
mapuche_opinion;Mapuche Opinion;;;;;;;;;;;;;x
sureno_opinion;Sureño Opinion;;;;;;;;;;;;;x
paulista_opinion;Paulista Opinion;;;;;;;;;;;;;x
peterite_opinion;Peterite Opinion;;;;;;;;;;;;;x
mineiro_opinion;Mineiro Opinion;;;;;;;;;;;;;x
archipelagic_opinion;Archipelagic Opinion;;;;;;;;;;;;;x
porteno_opinion;Porteño Opinion;;;;;;;;;;;;;x
platinean_opinion;Platinean Opinion;;;;;;;;;;;;;x
falklander_opinion;Falklander Opinion;;;;;;;;;;;;;x
wladfaeg_opinion;Wladfaeg Opinion;;;;;;;;;;;;;x
turco_opinion;Turco Opinion;;;;;;;;;;;;;x
cicerite_opinion;Cicerite Opinion;;;;;;;;;;;;;x
paranaense_opinion;Paranaense Opinion;;;;;;;;;;;;;x
rutenio_opinion;Rutenio Opinion;;;;;;;;;;;;;x
charismatic_opinion;Charismatic Opinion;;;;;;;;;;;;;x
orthodoxist_opinion;Orthodoxist Opinion;;;;;;;;;;;;;x
hunsruckisch_opinion;Hunsruckisch Opinion;;;;;;;;;;;;;x
greenbelly_opinion;Barriga Verde Opinion;;;;;;;;;;;;;x
celeste_opinion;Celeste Opinion;;;;;;;;;;;;;x
evangelical_opinion;Evangelical Opinion;;;;;;;;;;;;;x
