###FORM OF ADDRESS;;;;;;;;;;;;;;
PATRIARCH;Patriarch;;;;;;;;;;;;;x
ARCHBISHOP;Bishop-President;;;;;;;;;;;;;x
PATRIARCHY_FOA;Patriarch of South America;;;;;;;;;;;;;x
ARCHBISHOP_FOA;Bishop-President of Brazil;;;;;;;;;;;;;x
LORD_COMMANDER;Lord-Commander;;;;;;;;;;;;;x
LADY_COMMANDER;Lady-Commander;;;;;;;;;;;;;x
GENERALSHIP;Generalship of;;;;;;;;;;;;;x
ARCHDIOCESE;Archdiocese of;;;;;;;;;;;;;x
CAMERLENGO;Camerlengo;;;;;;;;;;;;;x
CAMERLENGO_FOA;Your Eminence;;;;;;;;;;;;;x

#
PATRIARCHATE_TITLE;Archbishophric of $TITLE$;Patriarcat de $TITLE$;Patriarchat von $TITLE$;;Patriarcado de $TITLE$;;;;;;;;;x
AUTOCEPHALOUS_PATRIARCHS;Autocephalous Archbishops;Patriarches autocéphales;Autokephale Patriarche;;Patriarcas autocéfalos;;;;;;;;;x
AUTOCEPHALOUS_REL_HEAD_TITLE;Archbishop;;;;;;;;;;;;;x
AUTOCEPHALY_IRO;§YAdditional Autocephalous Archbishops§!;§YPatriarches autocéphales§!;§YZusätzliche autokephale Patriarche§!;;§YPatriacas autocéfalos adicionales§! ;;;;;;;;;x


job_spymaster_carioca;Xisnove;;;;;;;;;;;;;x
temple_baron_camdomble;Babalorisha;Babalorisha;Babalorisha;;Babalorisha;;;;;;;;;x
temple_baron_female_camdomble;Iyalorisha;Iyalorisha;Iyalorisha;;Iyalorisha;;;;;;;;;x
temple_count_camdomble;Babalorisha;Babalorisha;Babalorisha;;Babalorisha;;;;;;;;;x
temple_count_female_camdomble;Iyalorisha;Iyalorisha;Iyalorisha;;Iyalorisha;;;;;;;;;x
temple_duke_camdomble;Nla Babalorisha;Nla Babalorisha;Nla Babalorisha;;Nla Babalorisha;;;;;;;;;x
temple_duke_female_camdomble;Nla Iyalorisha;Nla Iyalorisha;Nla Iyalorisha;;Nla Iyalorisha;;;;;;;;;x
temple_king_camdomble;Babalorisha;Babalorisha;Babalorisha;;Babalorisha;;;;;;;;;x
temple_king_female_camdomble;Iyalorisha;Iyalorisha;Iyalorisha;;Iyalorisha;;;;;;;;;x
temple_emperor_camdomble;Babalorisha;Babalorisha;Babalorisha;;Babalorisha;;;;;;;;;x
temple_emperor_female_camdomble;Iyalorisha;Iyalorisha;Iyalorisha;;Iyalorisha;;;;;;;;;x
nomadic_emperor;Lieutenant;;;;;;;;;;;;;x
