###ÄNSI;;;;;;;;;;;;;;
###CULTURES;;;;;;;;;;;;;;
quechua_group;Quechua;;;;;;;;;;;;;x
inca;Inca;;;;;;;;;;;;;x
chanka;Chanka;;;;;;;;;;;;;x
huanca;Huanca;;;;;;;;;;;;;x
chincha;Chincha;;;;;;;;;;;;;x
quechua;Quechua;;;;;;;;;;;;;x
aymara_group;Aymara;;;;;;;;;;;;;x
lupaca;Lupaca;;;;;;;;;;;;;x
charca;Charca;;;;;;;;;;;;;x
aymara;Aymara;;;;;;;;;;;;;x
wari;Wari;;;;;;;;;;;;;x
moche;Moche;;;;;;;;;;;;;x
chimu;Chimu;;;;;;;;;;;;;x
chancay;Chancay;;;;;;;;;;;;;x
qom;Qom;;;;;;;;;;;;;x
santacruceno;Santacruceño;;;;;;;;;;;;;x
patagon;Patagón;;;;;;;;;;;;;x
desertico;Desértico;;;;;;;;;;;;;x
australino;Australino;;;;;;;;;;;;;x
finnish_group;Finnish;;;;;;;;;;;;;x
suomi;Suomi;;;;;;;;;;;;;x
british_group;British;;;;;;;;;;;;;x
falklander;Falklander;;;;;;;;;;;;;x
guayasense;Guayasense;;;;;;;;;;;;;x
gran_colombian;Gran Colombian;;;;;;;;;;;;;x
colombian;Colombian;;;;;;;;;;;;;x
venezolano;Venezolano;;;;;;;;;;;;;x
llanero;Llanero;;;;;;;;;;;;;x
ecuatoriano;Ecuatoriano;;;;;;;;;;;;;x
serrano;Serrano;;;;;;;;;;;;;x
chileno;Chileno;;;;;;;;;;;;;x
centrino;Centrino;;;;;;;;;;;;;x
atacameno;Atacameño;;;;;;;;;;;;;x
huaso;Huaso;;;;;;;;;;;;;x
sureno;Sureño;;;;;;;;;;;;;x
fluminense_group;Fluminense;;;;;;;;;;;;;x
fluminense;Fluminense;;;;;;;;;;;;;x
mantiqueiro;Mantiqueiro;;;;;;;;;;;;;x
capixaba;Capixaba;;;;;;;;;;;;;x
pomerisch;Pomerisch;;;;;;;;;;;;;x
paulista;Paulista;;;;;;;;;;;;;x
paulistano;Paulistano;;;;;;;;;;;;;x
caipira;Caipira;;;;;;;;;;;;;x
caicara;Caiçara;;;;;;;;;;;;;x
americano;Americano;;;;;;;;;;;;;x
camponeto;Camponeto;;;;;;;;;;;;;x
kyusei;Nikkei;;;;;;;;;;;;;x
catarinense;Catarinense;;;;;;;;;;;;;x
mineiro_group;Mineiro;;;;;;;;;;;;;x
paranaense;Paranaense;;;;;;;;;;;;;x
horizontense;Horizontense;;;;;;;;;;;;;x
canastro;Canastro;;;;;;;;;;;;;x
southern_group;Southern;;;;;;;;;;;;;x
mineiro;Mineiro;;;;;;;;;;;;;x
bahiano;Bahiano;;;;;;;;;;;;;x
hunsruckisch;Hunsruckisch;;;;;;;;;;;;;x
riograndense;Riograndense;;;;;;;;;;;;;x
chiconho;Chiconho;;;;;;;;;;;;;x
ilhense;Ilhense;;;;;;;;;;;;;x
northeastern_group;Northeastern;;;;;;;;;;;;;x
atlanticano;Atlanticano;;;;;;;;;;;;;x
cearense;Cearense;;;;;;;;;;;;;x
parnaibas;East Parnaiba;;;;;;;;;;;;;x
cerradonense;Cerradonense;;;;;;;;;;;;;x
candango;Candango;;;;;;;;;;;;;x
goyanense;Goyanense;;;;;;;;;;;;;x
grossense;Grossense;;;;;;;;;;;;;x
pantanense;Pantanense;;;;;;;;;;;;;x
amazonian_group;Amazonian;;;;;;;;;;;;;x
araguaiano;Araguaiano;;;;;;;;;;;;;x
amazonense;Amazonense;;;;;;;;;;;;;x
