###ÄNSI;;;;;;;;;;;;;;
GRAND_MARQUIS;Grão-Marquês;;;;;;;;;;;;;x
GRAND_MARCHIONESS;Grã-Marquesa;;;;;;;;;;;;;x
MARQUIS_FOA;Your Excellence;;;;;;;;;;;;;x
AYATOLLAH;Ayatollah;;;;;;;;;;;;;x
BISPO;Bispo;;;;;;;;;;;;;x
BISPA;Bispa;;;;;;;;;;;;;x
BISPADO;Bishopric;;;;;;;;;;;;;x
REVEREND;Most Reverend;;;;;;;;;;;;;x
BEATO;Beato;;;;;;;;;;;;;x
MONSIGNOR;Monsignor;;;;;;;;;;;;;x
PADIM;Padim;;;;;;;;;;;;;x
SEDITION;Sedição;;;;;;;;;;;;;x
PROPHET;Prophet;;;;;;;;;;;;;x
PROPHET_FOA;Most Holy;;;;;;;;;;;;;x
SEALHOLDER;Sealholder;;;;;;;;;;;;;x
SINGERSOF;Singers of;;;;;;;;;;;;;x
