###ÄNSI;;;;;;;;;;;;;;
k_patriarchy;The Patriarchy;;;;;;;;;;;;;x
k_patriarchy_adj;Patriarchal;;;;;;;;;;;;;x
d_fraternidad_estelar;La Fraternidad Estelar;;;;;;;;;;;;;x
d_fraternidad_estelar_adj;Brotherly;;;;;;;;;;;;;x
b_comodoro_2;Comodoro;;;;;;;;;;;;;x
b_comodoro_2_adj;Comodorean;;;;;;;;;;;;;x
b_constitucion_2;Constitución;;;;;;;;;;;;;x
b_constitucion_2_adj;Constitucionan;;;;;;;;;;;;;x
b_san_javier_2;San Javier;;;;;;;;;;;;;x
b_san_javier_2_adj;San Javierino;;;;;;;;;;;;;x
b_castro_2_aj;Castrean;;;;;;;;;;;;;x
b_castro_2;Castro;;;;;;;;;;;;;x
b_la_union_2;La Unión;;;;;;;;;;;;;x
b_la_union_2;La Uniónan;;;;;;;;;;;;;x
d_universal;Universal Church of the Kingdom of God;;;;;;;;;;;;;x
d_universal_adj;Universalist;;;;;;;;;;;;;x
k_aparecida;Aparecida;;;;;;;;;;;;;x
k_aparecida_adj;Aparecidan;;;;;;;;;;;;;x
k_apostolic;São Paulo;;;;;;;;;;;;;x
k_goytacazes_generalship;Goytacazia;;;;;;;;;;;;;x
k_goytacazes_generalship_adj;Goytacazio;;;;;;;;;;;;;x
k_costa_sol_generalship;Costa do Sol;;;;;;;;;;;;;x
k_costa_sol_generalship_adj;Costa-solarian;;;;;;;;;;;;;x
k_costa_verde_generalship;Costa Verde;;;;;;;;;;;;;x
k_costa_verde_generalship_adj;Costa-verdean;;;;;;;;;;;;;x
k_americano;Americana;;;;;;;;;;;;;x
k_americano_adj;Americano;;;;;;;;;;;;;x
k_ribeira;Ribeira;;;;;;;;;;;;;x
k_ribeira_adj;Ribeirense;;;;;;;;;;;;;x
d_trifrontier;Triple Frontier;;;;;;;;;;;;;x
d_trifrontier_adj;Frontero;;;;;;;;;;;;;x
d_americana;Americana;;;;;;;;;;;;;x
d_americana_adj;Americano;;;;;;;;;;;;;x
d_twelve_pairs_of_france;Twelve pairs of France;Twelve pairs of France;Twelve pairs of France;;Twelve pairs of France;;;;;;;;;x
d_twelve_pairs_of_france_adj;Paired-French;Paired-French;Paired-French;;Paired-French;;;;;;;;;x
e_belchioringia;Belchioringia;;;;;;;;;;;;;x
e_belchioringia_adj;Belchioringio;;;;;;;;;;;;;x
e_pretender_empire_1;Salvador;;;;;;;;;;;;x
e_pretender_empire_1_adj;Salvadorense;;;;;;;;;;;x
e_coffee_milk;Empire of Coffee and Milk;;;;;;;;;;;x
e_coffee_milk;Café com Leite;;;;;;;;;;;x
k_celeste;Celestial Kingdom;;;;;;;;;;;x
k_celeste_adj;Celestial;;;;;;;;;;;x
k_teachers;The Society of Seminary Teachers;;;;;;;;;;;x
k_teachers_adj;Seminary Teacher;;;;;;;;;;;x
d_cicerite;The Priory;;;;;;;;;;;x
d_cicerite_adj;Prioral;;;;;;;;;;;x
d_fire_wasps;The Fire Wasps;;;;;;;;;;;;;x
d_fire_wasps_adj;Fire Wasp;;;;;;;;;;;;;x
d_army_commoners;The Army of the Commoners;;;;;;;;;;;;;x
d_army_commoners_adj;Commoner;;;;;;;;;;;;;x
k_papacy;Mysticalist Papacy;États pontificaux;Kirchenstaat;;Estados Pontificios;;;;;x
k_papacy_adj;Papal;;;;;;;;;;;;;x
e_israelite;The Israelite Mission of the New Universal Covenant;;;;;;;;;;;;;x
e_israelite_adj;Israelite;;;;;;;;;;;;;x
d_kraholand;Kraholand;;;;;;;;;;;;;x
d_kraholand_adj;Kraho;;;;;;;;;;;;;x
d_seladite;Knights of the Seven Seals;;;;;;;;;;;;;x
